"","GEOID","GEO_ID","state","place","NAME","CRRALL","CRRINT","RESP_DATE","FSRR2010","dif","popul","hhold","hunit","hhinc","povty","lmeng","hispa","white","black","asian","other","nonwh"
"1","1738830","1600000US1738830","17","38830","Justice village, Illinois",62.2,46.8,"2020-08-19",66.5,-4.3,12919,4740,5409,51276,16.5,15.3,16.6,61,18.8,2.1,1.5,39
"2","1738895","1600000US1738895","17","38895","Kaneville village, Illinois",73.3,65.8,"2020-08-19",55.3,18,375,163,171,69375,3.2,0,3.2,94.7,1.6,0,0.5,5.3
"3","1746357","1600000US1746357","17","46357","Manhattan village, Illinois",61,56.2,"2020-08-19",77.9,-16.9,7813,2526,2578,91429,2.1,0,4.1,95.4,0,0.5,0,4.6
"4","1742795","1600000US1742795","17","42795","Lemont village, Illinois",80.7,72.3,"2020-08-19",80.3,0.400000000000006,16935,5993,6282,95221,5.3,4.3,7.3,87.5,0.7,2.7,1.8,12.5
"5","1744407","1600000US1744407","17","44407","Lombard village, Illinois",77.8,70.8,"2020-08-19",77.5,0.299999999999997,43904,17246,18350,79684,6.5,3,9.6,71.8,4.7,11.4,2.5,28.2
"6","1744524","1600000US1744524","17","44524","Long Grove village, Illinois",55.3,51.2,"2020-08-19",81.2,-25.9,7978,2389,2579,208250,2.3,1.5,5.4,72.1,2.2,17.6,2.7,27.9
"7","1740767","1600000US1740767","17","40767","La Grange village, Illinois",76.5,70.8,"2020-08-19",82.1,-5.59999999999999,15632,5306,5662,121425,3.6,0.8,7.7,83.9,5.7,1.4,1.3,16.1
"8","1740884","1600000US1740884","17","40884","Lake Barrington village, Illinois",78.3,69.9,"2020-08-19",79.8,-1.5,5069,2326,2456,108125,5.1,0,4,90.8,0.3,4,0.9,9.2
"9","1746604","1600000US1746604","17","46604","Maple Park village, Illinois",77.7,69.1,"2020-08-19",72.1,5.60000000000001,1482,499,517,84911,2,0,4.5,90.6,0,0.9,4,9.4
"10","1741105","1600000US1741105","17","41105","Lake Forest city, Illinois",76.8,69.4,"2020-08-19",76.7,0.0999999999999943,19219,6878,7648,167404,2.6,1.3,3.8,84.5,1.9,8.1,1.7,15.5
"11","1746786","1600000US1746786","17","46786","Marengo city, Illinois",74.1,63,"2020-08-19",74.1,0,8175,3034,3147,68219,11.9,4.1,17.8,79.1,1.6,0,1.5,20.9
"12","1741326","1600000US1741326","17","41326","Lakemoor village, Illinois",67.6,61,"2020-08-19",73.3,-5.7,6171,2177,2458,81847,3.3,2.9,15.2,80.2,2.2,1.4,1,19.8
"13","1743406","1600000US1743406","17","43406","Lily Lake village, Illinois",70,63.4,"2020-08-19",86,-16,1091,365,372,122292,2.4,0.8,3.8,91.8,2.9,0.5,1,8.2
"14","1743250","1600000US1743250","17","43250","Libertyville village, Illinois",82.6,76.8,"2020-08-19",82.2,0.399999999999991,20480,7491,7881,130732,3.1,2.9,4.7,87,0.8,5.9,1.6,13
"15","1741651","1600000US1741651","17","41651","Lakewood village, Illinois",86.2,80,"2020-08-19",80.4,5.8,3741,1274,1330,136719,2.1,1.7,0.2,95.2,1.7,1.2,1.7,4.8
"16","1741586","1600000US1741586","17","41586","Lake Villa village, Illinois",81.8,75,"2020-08-19",80.9,0.899999999999991,8762,2915,3049,107681,2.1,1.1,11.8,80.1,3.3,3.6,1.2,19.9
"17","1745434","1600000US1745434","17","45434","Lyons village, Illinois",64.4,52.9,"2020-08-19",66.9,-2.5,10566,3858,4143,59800,12.4,10.3,50.4,43.2,3.2,2.2,1,56.8
"18","1745421","1600000US1745421","17","45421","Lynwood village, Illinois",67.6,56.4,"2020-08-19",69.7,-2.10000000000001,9316,3252,3703,57333,8.9,0.7,11.6,18.6,67.8,0.2,1.8,81.4
"19","1741742","1600000US1741742","17","41742","Lake Zurich village, Illinois",85.4,79.4,"2020-08-19",83.8,1.60000000000001,19970,6658,6961,114545,4.1,4.6,10.2,77.8,1.6,8.9,1.5,22.2
"20","1743666","1600000US1743666","17","43666","Lincolnshire village, Illinois",79.2,63.8,"2020-08-19",77.3,1.90000000000001,7469,3097,3269,114826,4.7,2.2,3,83.3,1,10.8,1.9,16.7
"21","1745564","1600000US1745564","17","45564","McCook village, Illinois",60.8,50.8,"2020-08-19",60,0.799999999999997,261,96,108,75833,3.8,2.1,38.7,56.7,0.4,3.1,1.1,43.3
"22","1745616","1600000US1745616","17","45616","McCullom Lake village, Illinois",71.4,57.3,"2020-08-19",68.5,2.90000000000001,1148,420,450,63068,2.9,6.7,10.3,78.8,0.2,2.4,8.3,21.2
"23","1745694","1600000US1745694","17","45694","McHenry city, Illinois",79.7,70.3,"2020-08-19",76.9,2.8,26740,10192,10669,72574,6.7,3.1,16.1,81.4,0.3,1.4,0.8,18.6
"24","1742028","1600000US1742028","17","42028","Lansing village, Illinois",73,63.3,"2020-08-19",73,0,28141,11127,12222,52471,14.6,3.3,14.7,40.8,41.3,0.9,2.3,59.2
"25","1743770","1600000US1743770","17","43770","Lindenhurst village, Illinois",83.9,78.5,"2020-08-19",83.5,0.400000000000006,14495,5145,5300,102426,3.4,1.4,8.5,84.4,1.6,3.9,1.6,15.6
"26","1743744","1600000US1743744","17","43744","Lincolnwood village, Illinois",76.3,67.1,"2020-08-19",73.3,3,12539,4260,4543,93250,6.6,8.9,7.7,54.3,2.6,30.9,4.5,45.7
"27","1743939","1600000US1743939","17","43939","Lisle village, Illinois",75.2,69,"2020-08-19",74.9,0.299999999999997,23435,9857,10317,87106,6,2.7,6.5,72.3,4.5,13.7,3,27.7
