"","GEOID20","hhinc10","hispa10","white10","black10","asian10","other10","nonwh10","popul10","hhold10","hunit10","hhinc18","hispa18","white18","black18","asian18","other18","nonwh18","povty","lmeng","popul18","hhold18","hunit18","GEO_ID","state","county","tract","NAME","CRRALL","CRRINT","RESP_DATE","FSRR2010","dif","race_maj10","race_maj18","stateCountyFIPS","MSA_GEOID","MSA","County"
"1","17031010100",36905,12.2,22.4,49.8,10.2,5.4,77.6,5303,2149,2670,37985,8.9,41,45.5,0.6,4,59,35.8,4.8,4522,2316,2656,"1400000US17031010100","17","031","010100","Census Tract 101, Cook County, Illinois",55.6,48.4,"2020-08-19",58.2,-2.6,"none","none","17031",16980,"CMAP Region","Cook, IL"
"2","17031010201",40681,22.5,24.3,46.6,5.1,1.5,75.7,5924,2475,2973,39549,21.3,32.4,36.8,2.1,7.4,67.6,36.8,13.2,7039,2688,2984,"1400000US17031010201","17","031","010201","Census Tract 102.01, Cook County, Illinois",55.9,49.5,"2020-08-19",57.1,-1.2,"none","none","17031",16980,"CMAP Region","Cook, IL"
"3","17031010202",35724,22.8,32.5,36.5,2,6.2,67.5,2981,1133,1295,38370,29,28.5,26.8,11,4.7,71.5,18.5,6.2,2852,1102,1256,"1400000US17031010202","17","031","010202","Census Tract 102.02, Cook County, Illinois",63,54.1,"2020-08-19",65.3,-2.3,"none","none","17031",16980,"CMAP Region","Cook, IL"
"4","17031010300",45224,24.5,46.9,21.1,6,1.5,53.1,6475,2750,3295,38866,16.9,46.3,31.3,2.3,3.2,53.7,16.1,8.2,6650,3037,3399,"1400000US17031010300","17","031","010300","Census Tract 103, Cook County, Illinois",63.8,57.3,"2020-08-19",62.5,1.3,"none","none","17031",16980,"CMAP Region","Cook, IL"
"5","17031010400",44018,14.2,59.1,13.9,9.2,3.6,40.9,4651,1943,2375,39152,6,66.7,18.7,6.3,2.3,33.3,19.1,4.2,5153,1938,2186,"1400000US17031010400","17","031","010400","Census Tract 104, Cook County, Illinois",62.7,57.6,"2020-08-19",64.8,-2.09999999999999,"white","white","17031",16980,"CMAP Region","Cook, IL"
"6","17031010501",33427,5.2,37.8,49.5,6,1.5,62.2,4138,2286,2561,34455,11,45.6,33,5.9,4.5,54.4,20.7,9,4147,2425,2652,"1400000US17031010501","17","031","010501","Census Tract 105.01, Cook County, Illinois",68.3,61.5,"2020-08-19",65.6,2.7,"none","none","17031",16980,"CMAP Region","Cook, IL"
"7","17031010502",30330,14.1,52.2,17.5,9.4,6.8,47.8,3294,1671,1957,37500,9.8,51.5,27.6,8.4,2.7,48.5,30,10.3,2802,1508,1796,"1400000US17031010502","17","031","010502","Census Tract 105.02, Cook County, Illinois",62.2,58.3,"2020-08-19",61.7,0.5,"white","white","17031",16980,"CMAP Region","Cook, IL"
"8","17031010503",18250,8.8,68.2,16.1,5.3,1.6,31.8,1778,979,1245,20357,6.2,62.6,13.3,12.6,5.3,37.4,48,28.6,1713,968,1258,"1400000US17031010503","17","031","010503","Census Tract 105.03, Cook County, Illinois",55.4,48,"2020-08-19",64.9,-9.50000000000001,"white","white","17031",16980,"CMAP Region","Cook, IL"
"9","17031010600",47610,28.4,36.5,25.5,5.3,4.3,63.5,6563,2751,3299,47549,21.8,56.1,16.4,2.6,3.1,43.9,24.4,10.5,6271,2875,3301,"1400000US17031010600","17","031","010600","Census Tract 106, Cook County, Illinois",65.8,60.7,"2020-08-19",66.7,-0.900000000000006,"none","white","17031",16980,"CMAP Region","Cook, IL"
"10","17031010701",55682,38.2,42,14.5,1.7,3.6,58,3734,1494,1647,55529,26,40.2,19.1,13.8,0.9,59.8,20.8,12,3766,1459,1704,"1400000US17031010701","17","031","010701","Census Tract 107.01, Cook County, Illinois",64.9,59.1,"2020-08-19",71,-6.09999999999999,"none","none","17031",16980,"CMAP Region","Cook, IL"
"11","17031010702",43304,52.6,24.4,20.3,1.4,1.3,75.6,5514,1936,2258,41161,35.8,30.4,23.2,7.8,2.8,69.6,24.2,12.2,5096,2060,2268,"1400000US17031010702","17","031","010702","Census Tract 107.02, Cook County, Illinois",58.3,52.5,"2020-08-19",63.1,-4.8,"hispa","none","17031",16980,"CMAP Region","Cook, IL"
"12","17031020100",45888,18.8,37.5,28.8,14.9,0,62.5,3541,1397,1570,51346,21.2,31.8,30.2,9.8,7,68.2,14.2,13.6,3836,1556,1737,"1400000US17031020100","17","031","020100","Census Tract 201, Cook County, Illinois",61,53.4,"2020-08-19",64.1,-3.09999999999999,"none","none","17031",16980,"CMAP Region","Cook, IL"
"13","17031020200",71307,5.7,56.4,15.1,21.9,0.9,43.6,6773,2061,2116,66831,16.2,47.3,15.8,17.6,3.1,52.7,13.5,5.6,6739,2135,2280,"1400000US17031020200","17","031","020200","Census Tract 202, Cook County, Illinois",74.7,67.6,"2020-08-19",72.8,1.90000000000001,"white","none","17031",16980,"CMAP Region","Cook, IL"
